First,Last,Sam,Dept,Title
Frank,Bluegill,fbluegill,Legal,Partner
Billy,Bass,bbass,Legal,Partner
Miriam,Cole,mcole,Legal,Partner
Derek,Voss,dvoss,Legal,Of Counsel
Angela,Reyes,areyes,Legal,Senior Associate
Marcus,Webb,mwebb,Legal,Senior Associate
Sophie,Tanaka,stanaka,Legal,Associate
Jordan,Pike,jpike,Legal,Associate
Elena,Marsh,emarsh,Legal,Associate
Caleb,Duran,cduran,Legal,Associate
Jared,Combs,jcombs,Legal,Associate
Priscilla,Wynn,pwynn,Legal,Associate
Rachel,Foss,rfoss,Legal,Paralegal
Nathan,Kirby,nkirby,Legal,Paralegal
Wendy,Solis,wsolis,Legal,Paralegal
Omar,Farid,ofarid,Legal,Paralegal
Theo,Anders,tanders,Legal,Paralegal
Fiona,Blackwood,fblackwood,Legal,Paralegal
Grace,Lindqvist,glindqvist,Legal,Legal Secretary
Victor,Nakamura,vnakamura,Legal,Legal Secretary
Paula,Ibarra,pibarra,Legal,Legal Secretary
Nadia,Petrov,npetrov,Legal,Legal Secretary
Simon,Okafor,sokafor,Legal,Litigation Support Specialist
Renee,Castillo,rcastillo,Legal,Litigation Support Specialist
Harold,Vance,hvance,Legal,Docket Clerk
Gordon,Reyes,greyes,Legal,Docket Clerk
Priya,Raman,praman,Finance,Controller
Leon,Adebayo,ladebayo,Finance,Senior Accountant
Katie,Novak,knovak,Finance,Staff Accountant
Ben,Ostrowski,bostrowski,Finance,Staff Accountant
Holly,Fenwick,hfenwick,Finance,Staff Accountant
Mei,Lin,mlin,Finance,Accounts Payable Clerk
Wesley,Chow,wchow,Finance,Accounts Payable Clerk
Trevor,Hays,thays,Finance,Accounts Receivable Clerk
Ana,Belmonte,abelmonte,Finance,Billing Coordinator
Diego,Salas,dsalas,Finance,Payroll Administrator
Nora,Trout,ntrout,HR,HR Coordinator
Yvonne,Park,ypark,HR,HR Generalist
Sam,Whitfield,swhitfield,HR,Recruiter
Isabel,Moreno,imoreno,HR,Benefits Administrator
Colin,Marsh,cmarsh,HR,Training Coordinator
Preston,Doyle,pdoyle,HR,HR Assistant
Tom,Whitlock,twhitlock,IT,Systems Administrator
Felicia,Grant,fgrant,IT,IT Director
Owen,Sato,osato,IT,Network Engineer
Karen,Voss,kvoss,IT,Security Analyst
Ray,Chun,rchun,IT,Help Desk Technician
Bianca,Ruiz,bruiz,IT,Help Desk Technician
Denise,Okoro,dokoro,IT,Help Desk Technician
Dana,Osei,dosei,Records,Records Clerk
Marcus,Doyle,mdoyle,Records,Records Clerk
Walter,Higgins,whiggins,Records,Records Manager
Lucia,Fernandez,lfernandez,Records,File Clerk
Selena,Ortiz,sortiz,Records,File Clerk
Aaron,Bledsoe,abledsoe,Records,Imaging Technician
Ginny,Park,gpark,Records,Imaging Technician
